,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
theta[783],-1.595,0.21,-2.002,-1.211,0.002,0.002,11301.0,13357.0,1.0
theta[847],0.423,0.152,0.145,0.707,0.002,0.001,9105.0,12899.0,1.0
theta[655],-0.252,0.166,-0.564,0.051,0.002,0.001,11020.0,12375.0,1.0
theta[464],-1.714,0.187,-2.085,-1.378,0.002,0.001,10222.0,11891.0,1.0
theta[1042],-0.264,0.192,-0.61,0.111,0.001,0.002,16639.0,13487.0,1.0
theta[742],1.043,0.146,0.764,1.31,0.002,0.001,7421.0,11832.0,1.0
theta[947],0.182,0.174,-0.147,0.509,0.001,0.001,17142.0,12461.0,1.0
theta[168],-2.18,0.257,-2.678,-1.71,0.002,0.002,13022.0,12965.0,1.0
theta[32],0.654,0.16,0.348,0.95,0.001,0.001,11824.0,11383.0,1.0
theta[1130],0.078,0.178,-0.258,0.415,0.002,0.001,14128.0,12862.0,1.0
theta[260],1.036,0.146,0.76,1.31,0.002,0.001,8198.0,12567.0,1.0
theta[434],0.14,0.174,-0.198,0.458,0.002,0.001,12952.0,12749.0,1.0
theta[642],-1.39,0.168,-1.707,-1.076,0.002,0.001,7593.0,10629.0,1.0
theta[716],-1.057,0.177,-1.381,-0.717,0.002,0.001,12542.0,12589.0,1.0
theta[35],0.448,0.165,0.141,0.759,0.002,0.001,10476.0,12790.0,1.0
theta[581],0.298,0.153,0.026,0.602,0.002,0.001,10187.0,12666.0,1.0
theta[1028],0.41,0.149,0.141,0.701,0.002,0.001,9423.0,12605.0,1.0
theta[68],1.085,0.15,0.792,1.36,0.002,0.001,7652.0,11170.0,1.0
theta[345],0.191,0.18,-0.138,0.532,0.002,0.001,13571.0,11797.0,1.0
theta[104],-0.419,0.162,-0.73,-0.12,0.001,0.001,13207.0,12344.0,1.0
theta[1117],0.619,0.163,0.306,0.922,0.002,0.001,9736.0,12180.0,1.0
theta[960],0.194,0.157,-0.092,0.497,0.001,0.001,13168.0,13577.0,1.0
theta[361],1.051,0.187,0.708,1.413,0.002,0.002,11191.0,11991.0,1.0
theta[1125],-0.905,0.181,-1.242,-0.563,0.002,0.001,12721.0,13191.0,1.0
theta[248],0.619,0.164,0.315,0.929,0.001,0.001,12078.0,11222.0,1.0
theta[498],0.631,0.163,0.319,0.935,0.002,0.001,9132.0,12751.0,1.0
theta[549],0.783,0.161,0.485,1.09,0.002,0.001,7991.0,13325.0,1.0
theta[940],0.327,0.156,0.036,0.623,0.002,0.001,9589.0,12698.0,1.0
theta[1086],-1.429,0.242,-1.884,-0.97,0.002,0.002,18010.0,12847.0,1.0
theta[371],-0.19,0.368,-0.89,0.501,0.002,0.003,30363.0,13630.0,1.0
theta[607],0.257,0.215,-0.149,0.656,0.001,0.002,20904.0,13735.0,1.0
theta[499],1.227,0.156,0.937,1.522,0.002,0.001,8597.0,10049.0,1.0
theta[957],-1.474,0.166,-1.78,-1.15,0.002,0.001,7362.0,11366.0,1.0
theta[385],0.066,0.159,-0.236,0.359,0.002,0.001,10094.0,11738.0,1.0
theta[1050],0.881,0.157,0.577,1.165,0.002,0.001,10618.0,12946.0,1.0
theta[649],-1.695,0.221,-2.123,-1.291,0.002,0.002,13009.0,12470.0,1.0
theta[18],-1.602,0.149,-1.883,-1.326,0.002,0.001,6321.0,11698.0,1.0
theta[1145],0.685,0.162,0.384,0.994,0.002,0.001,10572.0,12557.0,1.0
theta[821],0.066,0.171,-0.257,0.386,0.002,0.001,11719.0,12522.0,1.0
theta[717],-0.61,0.191,-0.98,-0.259,0.002,0.002,14897.0,13232.0,1.0
theta[857],0.606,0.17,0.286,0.925,0.002,0.001,12641.0,12584.0,1.0
theta[208],-2.765,0.178,-3.097,-2.427,0.002,0.001,5066.0,9835.0,1.0
theta[866],-0.409,0.164,-0.706,-0.092,0.002,0.001,11797.0,13186.0,1.0
theta[415],-0.544,0.246,-1.014,-0.082,0.002,0.002,23335.0,13551.0,1.0
theta[136],-2.576,0.665,-3.788,-1.285,0.004,0.005,31761.0,13707.0,1.0
theta[1010],0.534,0.164,0.231,0.85,0.001,0.001,12427.0,12771.0,1.0
theta[883],-0.721,0.154,-1.016,-0.438,0.002,0.001,10044.0,12363.0,1.0
theta[781],1.563,0.155,1.27,1.855,0.002,0.001,6614.0,11062.0,1.0
theta[1058],0.18,0.166,-0.131,0.494,0.002,0.001,11434.0,13255.0,1.0
theta[73],-1.096,0.169,-1.419,-0.784,0.002,0.001,10023.0,12623.0,1.0
theta[203],0.232,0.162,-0.07,0.542,0.001,0.001,12553.0,12979.0,1.0
theta[863],0.072,0.163,-0.227,0.383,0.001,0.001,12753.0,12710.0,1.0
theta[720],1.066,0.155,0.781,1.366,0.002,0.001,8011.0,11147.0,1.0
theta[1066],0.883,0.165,0.567,1.192,0.002,0.001,9405.0,12861.0,1.0
theta[920],-0.213,0.153,-0.496,0.076,0.002,0.001,9584.0,13290.0,1.0
theta[773],-0.121,0.166,-0.426,0.198,0.002,0.001,12117.0,13731.0,1.0
theta[951],0.131,0.163,-0.173,0.443,0.002,0.001,11595.0,12870.0,1.0
theta[899],-0.199,0.169,-0.512,0.119,0.002,0.001,10230.0,12752.0,1.0
theta[698],0.193,0.155,-0.091,0.493,0.001,0.001,12327.0,11782.0,1.0
